2.5%,97.5%,estimate,region,site_id,year,month,day,species,stage,louse_species
0.2,1,0.8,DI,D07,2015,05,16,CU,motile,caligus
0,0.3333333333333333,0.3333333333333333,DI,D08,2015,05,19,CU,motile,caligus
0,1.2,1.2,DI,D09,2015,05,20,CU,motile,caligus
0.125,1.125,1,DI,D07,2015,05,21,CU,motile,caligus
0,0.3,0.3,DI,D08,2015,05,23,CU,motile,caligus
0,1.8,1.8,JS,J02,2015,05,24,CU,motile,caligus
0,0,0,DI,D09,2015,05,26,CU,motile,caligus
0.1,0.9,0.8,JS,J03,2015,05,26,CU,motile,caligus
0.2,1,0.8,JS,J09,2015,05,26,CU,motile,caligus
0,0.8,0.8,DI,D09,2015,05,28,CU,motile,caligus
0,1.6,1.6,DI,D08,2015,05,31,CU,motile,caligus
0.5,2,1.5,JS,J03,2015,05,31,CU,motile,caligus
0.2,1.4,1.2,JS,J09,2015,05,31,CU,motile,caligus
0.2,1,0.8,DI,D09,2015,06,01,CU,motile,caligus
2,2,0,JS,J02,2015,06,01,CU,motile,caligus
0.1111111111111111,0.7777777777777778,0.6666666666666667,DI,D07,2015,06,05,CU,motile,caligus
0,0.6,0.6,DI,D09,2015,06,05,CU,motile,caligus
0.1,0.7,0.6,DI,D07,2015,06,07,CU,motile,caligus
0,0,0,DI,D09,2015,06,07,CU,motile,caligus
0,0.6,0.6,JS,J09,2015,06,07,CU,motile,caligus
0,0,0,JS,J03,2015,06,08,CU,motile,caligus
0,0.8,0.8,DI,D07,2015,06,09,CU,motile,caligus
0.2,1,0.8,DI,D09,2015,06,09,CU,motile,caligus
0,0.6,0.6,DI,D09,2015,06,11,CU,motile,caligus
0.1,1.1,1,DI,D07,2015,06,13,CU,motile,caligus
0.16666666666666666,0.8333333333333334,0.6666666666666667,DI,D09,2015,06,14,CU,motile,caligus
0,0.8024999999999978,0.8024999999999978,JS,J03,2015,06,15,CU,motile,caligus
0,0,0,JS,J02,2015,06,16,CU,motile,caligus
0,1.2,1.2,JS,J09,2015,06,16,CU,motile,caligus
0,0.3,0.3,DI,D08,2015,06,17,CU,motile,caligus
0,1.2,1.2,DI,D09,2015,06,18,CU,motile,caligus
0,0,0,JS,J02,2015,06,19,CU,motile,caligus
0.5,2,1.5,JS,J09,2015,06,19,CU,motile,caligus
1,1.6,0.6000000000000001,DI,D09,2015,06,20,CU,motile,caligus
0,0,0,DI,D09,2015,06,22,CU,motile,caligus
0,0.6,0.6,JS,J02,2015,06,23,CU,motile,caligus
0,0.6,0.6,JS,J03,2015,06,23,CU,motile,caligus
0,0.8,0.8,DI,D09,2015,06,24,CU,motile,caligus
0,0.8,0.8,DI,D09,2015,06,27,CU,motile,caligus
0.4,1,0.6,JS,J09,2015,06,27,CU,motile,caligus
0.1,1.2,1.0999999999999999,JS,J03,2015,06,28,CU,motile,caligus
0.14285714285714285,1.1428571428571428,1,DI,D09,2015,06,29,CU,motile,caligus
0,1.4,1.4,JS,J09,2015,07,01,CU,motile,caligus
0,0.8,0.8,DI,D09,2015,07,02,CU,motile,caligus
1.4,2.8,1.4,DI,D09,2015,07,06,CU,motile,caligus
0,0.6,0.6,DI,D09,2015,07,07,CU,motile,caligus
0,1.8,1.8,JS,J09,2015,07,07,CU,motile,caligus
0,0,0,DI,D22,2016,05,15,CU,motile,caligus
0,0,0,DI,D08,2016,05,19,CU,motile,caligus
0,0.375,0.375,JS,J02,2016,05,22,CU,motile,caligus
0,0,0,JS,J09,2016,05,22,CU,motile,caligus
0.3,1.2,0.8999999999999999,DI,D09,2016,05,23,CU,motile,caligus
0,0,0,DI,D22,2016,05,23,CU,motile,caligus
